line,mating_status,fusion_id,c_i,T_i_1a,direction_cis,direction_trans
r392,V,F25282_SI,0.0065241609,-0.031034932,+,-
r426,V,F25282_SI,0.0082127797,0.0093113423,+,+
r443,V,F25282_SI,0.010165814,-0.017974128,+,-
r491,V,F25282_SI,0.0003005576,0.03051067,+,+
r517,V,F25282_SI,0.0192036662,-0.002697189,+,-
r732,V,F25282_SI,-0.000027533,0.0485546233,-,+
r737,V,F25282_SI,0.0117783718,-0.017325113,+,-
r799,V,F25282_SI,0.0022736267,-0.004207234,+,-
r810,V,F25282_SI,-0.011414121,0.0306572668,-,+
r820,V,F25282_SI,0.000407092,-0.033613673,+,-
r85,V,F25282_SI,0.0149231954,-0.022223927,+,-
r907,V,F25282_SI,0.0150059714,-0.021457441,+,-
w114,V,F25282_SI,-0.00013732,0.0081138155,-,+
w38,V,F25282_SI,-0.020193998,0.0252238145,-,+
w47,V,F25282_SI,-0.015716902,0.0736836041,-,+
w52,V,F25282_SI,0.0022443247,-0.017570959,+,-
w55,V,F25282_SI,0.0001966365,-0.000368098,+,-
w59,V,F25282_SI,-0.001728055,-0.015510374,-,-
w67,V,F25282_SI,-0.024320549,0.0142808313,-,+
w68,V,F25282_SI,0.0068559641,-0.030818384,+,-
w76,V,F25282_SI,-0.017232905,0.0177696838,-,+
w79,V,F25282_SI,-0.001351217,-0.002053436,-,-
r362,M,F25533_SI,-0.063981497,0.3423433583,-,+
r365,M,F25533_SI,0.1295456047,-0.453239026,+,-
r374,M,F25533_SI,-0.075765953,0.0880542866,-,+
r426,M,F25533_SI,0.1175450841,-0.433302617,+,-
r810,M,F25533_SI,0.1036256702,-0.40619639,+,-
r820,M,F25533_SI,-0.02622523,0.0780114207,-,+
w76,M,F25533_SI,-0.184743679,0.7843289681,-,+
r362,V,F25533_SI,-0.120112363,0.4698960082,-,+
r365,V,F25533_SI,0.112406595,-0.376001501,+,-
r374,V,F25533_SI,-0.027443157,0.0128426967,-,+
r426,V,F25533_SI,0.1147155704,-0.395847878,+,-
r810,V,F25533_SI,0.1024709754,-0.366480639,+,-
r820,V,F25533_SI,-0.033050484,0.0747584142,-,+
w76,V,F25533_SI,-0.148987137,0.5808328992,-,+
r324,M,F25645_SI,-0.48766783,-1.00039199,-,-
r373,M,F25645_SI,-0.64608969,-1.336991875,-,-
r374,M,F25645_SI,-0.436565067,1.4602519397,-,+
r427,M,F25645_SI,0.3258760665,0.2786044215,+,+
r491,M,F25645_SI,0.5649157444,0.3836610961,+,+
r799,M,F25645_SI,0.6598153145,-0.065984942,+,-
w64,M,F25645_SI,0.0197154615,0.2808513488,+,+
r324,V,F25645_SI,-0.528992658,-0.88707735,-,-
r373,V,F25645_SI,-0.780462739,-1.209509663,-,-
r374,V,F25645_SI,0.0840139896,0.650013067,+,+
r427,V,F25645_SI,0.4557368361,0.1967359135,+,+
r491,V,F25645_SI,0.9395937296,0.4061163672,+,+
r799,V,F25645_SI,0.1782747149,0.2812056104,+,+
w64,V,F25645_SI,-0.348163873,0.5625160553,-,+
r136,M,F25727_SI,-0.002935495,-0.004855021,-,-
r208,M,F25727_SI,0.0035385519,-0.033838485,+,-
r21,M,F25727_SI,0.007293672,-0.034811159,+,-
r217,M,F25727_SI,-0.00231432,0.1114158905,-,+
r280,M,F25727_SI,0.0034576913,-0.024578588,+,-
r287,M,F25727_SI,0.0039389624,-0.018181163,+,-
r309,M,F25727_SI,0.0001524814,-0.031551368,+,-
r315,M,F25727_SI,0.0012026717,-0.03033102,+,-
r324,M,F25727_SI,-0.016326748,0.0066429026,-,+
r335,M,F25727_SI,0.0039222999,-0.03446062,+,-
r340,M,F25727_SI,0.0034306066,-0.032414556,+,-
r350,M,F25727_SI,0.0038941778,-0.036038967,+,-
r357,M,F25727_SI,0.0014247794,-0.028870229,+,-
r358,M,F25727_SI,0.0032208753,-0.029242636,+,-
r360,M,F25727_SI,0.0044468084,-0.033852982,+,-
r362,M,F25727_SI,-0.000010843,-0.027571103,-,-
r365,M,F25727_SI,0.0029217111,-0.032066824,+,-
r373,M,F25727_SI,0.0086427271,0.0112528388,+,+
r374,M,F25727_SI,0.0054989265,-0.021834953,+,-
r380,M,F25727_SI,0.0017631504,-0.030033763,+,-
r392,M,F25727_SI,0.0074351236,-0.008662469,+,-
r426,M,F25727_SI,0.0038853249,-0.032855569,+,-
r427,M,F25727_SI,0.0015850322,-0.030540041,+,-
r443,M,F25727_SI,0.0051096494,-0.013639514,+,-
r491,M,F25727_SI,0.0009506188,-0.022601396,+,-
r517,M,F25727_SI,0.0018575711,-0.027884714,+,-
r732,M,F25727_SI,0.0096046356,0.0642030056,+,+
r737,M,F25727_SI,0.004033858,-0.032512599,+,-
r799,M,F25727_SI,0.0015458549,-0.030225203,+,-
r810,M,F25727_SI,-0.002711423,-0.004999812,-,-
r820,M,F25727_SI,0.0013119723,-0.007651192,+,-
r83,M,F25727_SI,0.0042886483,-0.033269988,+,-
r85,M,F25727_SI,0.003915911,-0.035276002,+,-
r853,M,F25727_SI,0.0029370479,-0.03492793,+,-
r857,M,F25727_SI,-0.11584541,0.7468139633,-,+
r907,M,F25727_SI,0.0024178797,-0.032395709,+,-
w114,M,F25727_SI,0.003382271,-0.031600078,+,-
w38,M,F25727_SI,0.0019900909,-0.020903673,+,-
w47,M,F25727_SI,2.685416E-7,-0.015398752,+,-
w52,M,F25727_SI,0.0091442642,0.0678328947,+,+
w55,M,F25727_SI,0.0012943246,-0.014832827,+,-
w59,M,F25727_SI,0.0124960012,-0.004481687,+,-
w64,M,F25727_SI,0.003918244,-0.032723893,+,-
w67,M,F25727_SI,-0.008074447,-0.021176655,-,-
w68,M,F25727_SI,0.002676653,-0.007200157,+,-
w76,M,F25727_SI,-0.001013073,-0.008497877,-,-
w79,M,F25727_SI,0.0047004214,-0.019370316,+,-
r136,V,F25727_SI,-0.01484075,0.014533964,-,+
r208,V,F25727_SI,-0.000642912,-0.025006818,-,-
r21,V,F25727_SI,-0.002474044,-0.02415571,-,-
r217,V,F25727_SI,0.0072224545,0.0886729042,+,+
r280,V,F25727_SI,0.0037779355,-0.017388364,+,-
r287,V,F25727_SI,-0.000047807,-0.012346231,-,-
r309,V,F25727_SI,-0.00216811,-0.023702125,-,-
r315,V,F25727_SI,-0.001064479,-0.021135082,-,-
r324,V,F25727_SI,-0.017488013,0.0136698599,-,+
r335,V,F25727_SI,-0.001003189,-0.024263179,-,-
r340,V,F25727_SI,0.0015925493,-0.023263537,+,-
r350,V,F25727_SI,-0.001557321,-0.025428986,-,-
r357,V,F25727_SI,-0.001409867,-0.022284191,-,-
r358,V,F25727_SI,-0.000919656,-0.021712969,-,-
r360,V,F25727_SI,-0.000867454,-0.024813126,-,-
r362,V,F25727_SI,-0.000932515,-0.024059584,-,-
r365,V,F25727_SI,-0.001840112,-0.021993776,-,-
r373,V,F25727_SI,0.0046498892,0.0329989304,+,+
r374,V,F25727_SI,0.0028077957,-0.014741448,+,-
r380,V,F25727_SI,-0.000093715,-0.022887194,-,-
r392,V,F25727_SI,-0.000654781,0.0016395396,-,+
r426,V,F25727_SI,0.0036428394,-0.02558983,+,-
r427,V,F25727_SI,-0.002178082,-0.021561302,-,-
r443,V,F25727_SI,0.0045987895,-0.009166569,+,-
r491,V,F25727_SI,0.0000435895,-0.01412796,+,-
r517,V,F25727_SI,-0.000495311,-0.022804171,-,-
r732,V,F25727_SI,0.0002734497,0.0919370438,+,+
r737,V,F25727_SI,0.0017696608,-0.026609228,+,-
r799,V,F25727_SI,-0.001047883,-0.022615787,-,-
r810,V,F25727_SI,-0.00048395,0.0053923963,-,+
r820,V,F25727_SI,0.0000487905,0.0026069306,+,+
r83,V,F25727_SI,0.0037889816,-0.02741334,+,-
r85,V,F25727_SI,-0.00024754,-0.023800584,-,-
r853,V,F25727_SI,0.0038152322,-0.029509392,+,-
r857,V,F25727_SI,0.0408248982,0.3387450389,+,+
r907,V,F25727_SI,-0.001269361,-0.02539769,-,-
w114,V,F25727_SI,0.0014129522,-0.025730856,+,-
w38,V,F25727_SI,-0.000341286,-0.012412486,-,-
w47,V,F25727_SI,-0.006324727,-0.003909426,-,-
w52,V,F25727_SI,0.0032835997,0.090557782,+,+
w55,V,F25727_SI,-0.002832783,-0.007290495,-,-
w59,V,F25727_SI,-0.000272969,0.0159251771,-,+
w64,V,F25727_SI,-0.001025694,-0.023459435,-,-
w67,V,F25727_SI,-0.009582352,-0.015313185,-,-
w68,V,F25727_SI,-0.003044794,0.0037446413,-,+
w76,V,F25727_SI,-0.005820262,-0.003182465,-,-
w79,V,F25727_SI,-0.000581685,-0.01134769,-,-
r136,M,F25783_SI,0.161420954,-0.553736837,+,-
r208,M,F25783_SI,-0.134696438,1.7674408098,-,+
r21,M,F25783_SI,0.0856589275,-0.219366475,+,-
r217,M,F25783_SI,-0.051036227,-0.093025361,-,-
r280,M,F25783_SI,0.0273728749,-0.212594842,+,-
r315,M,F25783_SI,-0.060997492,0.401111014,-,+
r362,M,F25783_SI,0.0598261923,-0.952362307,+,-
r365,M,F25783_SI,0.0430716031,-0.184195395,+,-
r373,M,F25783_SI,0.0633445913,-1.141266299,+,-
r374,M,F25783_SI,0.093956671,-0.336856231,+,-
r380,M,F25783_SI,0.1069893182,0.1026005338,+,+
r392,M,F25783_SI,0.1203817341,-0.410638788,+,-
r426,M,F25783_SI,0.1734921219,-0.344456034,+,-
r427,M,F25783_SI,-0.051948299,1.21973722,-,+
r443,M,F25783_SI,0.0657663745,-1.142166782,+,-
r517,M,F25783_SI,-0.03603104,1.3935657848,-,+
r732,M,F25783_SI,0.1318658016,-0.330510103,+,-
r799,M,F25783_SI,0.0634459231,-1.139531051,+,-
r810,M,F25783_SI,-0.373116108,1.7439566246,-,+
r820,M,F25783_SI,0.0976402076,0.7680236889,+,+
r83,M,F25783_SI,-0.116418718,1.7034707946,-,+
r85,M,F25783_SI,0.0918778996,-0.215518123,+,-
r857,M,F25783_SI,0.0337649082,1.4332303341,+,+
r907,M,F25783_SI,-0.613034345,0.6513777735,-,+
w114,M,F25783_SI,-0.03156325,0.1016995261,-,+
w38,M,F25783_SI,0.0482986646,-0.161146539,+,-
w47,M,F25783_SI,0.0631553836,-1.141106008,+,-
w55,M,F25783_SI,-0.132638522,-0.744613175,-,-
w64,M,F25783_SI,0.0948721768,-0.557218634,+,-
w67,M,F25783_SI,-0.06002137,-0.367570711,-,-
w68,M,F25783_SI,0.030847336,-0.367684426,+,-
w76,M,F25783_SI,0.0044521453,-0.670649984,+,-
r136,V,F25783_SI,0.0309936998,-0.354428794,+,-
r208,V,F25783_SI,0.0886063191,1.4915633931,+,+
r21,V,F25783_SI,-0.093069066,-0.31194791,-,-
r217,V,F25783_SI,-0.073682289,-0.076105473,-,-
r280,V,F25783_SI,0.1292604798,-0.269523668,+,-
r315,V,F25783_SI,-0.049887439,0.5313672371,-,+
r362,V,F25783_SI,0.0450116291,-0.923767575,+,-
r365,V,F25783_SI,0.0812413493,-0.258202174,+,-
r373,V,F25783_SI,0.0663740487,-1.12609412,+,-
r374,V,F25783_SI,0.1042923737,-0.287625943,+,-
r380,V,F25783_SI,0.030607373,0.0690517176,+,+
r392,V,F25783_SI,0.0506532109,-0.404001712,+,-
r426,V,F25783_SI,0.1894181044,-0.311581341,+,-
r427,V,F25783_SI,-0.061289045,1.1944971371,-,+
r443,V,F25783_SI,0.0703696984,-1.126616848,+,-
r517,V,F25783_SI,0.1405016587,1.4063999518,+,+
r732,V,F25783_SI,0.0570339713,-0.254229008,+,-
r799,V,F25783_SI,0.0687328287,-1.126903402,+,-
r810,V,F25783_SI,-0.437319607,1.9555845572,-,+
r820,V,F25783_SI,-0.021949836,0.749488865,-,+
r83,V,F25783_SI,-0.051605321,1.8259142275,-,+
r85,V,F25783_SI,0.0475911813,-0.065117322,+,-
r857,V,F25783_SI,0.2568052436,0.2784032931,+,+
r907,V,F25783_SI,-0.673797594,0.7997894089,-,+
w114,V,F25783_SI,-0.005322775,0.1006395022,-,+
w38,V,F25783_SI,0.0775171396,-0.241816545,+,-
w47,V,F25783_SI,0.0659534642,-1.126655783,+,-
w55,V,F25783_SI,-0.127808362,-0.733871633,-,-
w64,V,F25783_SI,0.1135340567,-0.515856152,+,-
w67,V,F25783_SI,-0.091861584,-0.112726783,-,-
w68,V,F25783_SI,0.0330220081,-0.273245671,+,-
w76,V,F25783_SI,-0.059926921,-0.502381434,-,-
r315,M,F25804_SI,-0.036162757,0.2091822688,-,+
r324,M,F25804_SI,0.0103246138,-0.080369212,+,-
r335,M,F25804_SI,0.00325688,-0.066029452,+,-
r357,M,F25804_SI,-0.009237514,0.0265317422,-,+
r365,M,F25804_SI,0.0018617196,0.0030189882,+,+
r373,M,F25804_SI,-0.008866202,0.0199556148,-,+
r427,M,F25804_SI,0.013325101,-0.132274087,+,-
r491,M,F25804_SI,0.0183557104,0.1581670747,+,+
r517,M,F25804_SI,0.0184603588,-0.06408151,+,-
r799,M,F25804_SI,-0.001298426,0.1220988723,-,+
r820,M,F25804_SI,-0.005524979,0.1401776376,-,+
w114,M,F25804_SI,-0.044943267,0.19720122,-,+
w38,M,F25804_SI,0.0156263768,-0.054262324,+,-
w47,M,F25804_SI,0.0125143887,-0.110347156,+,-
w52,M,F25804_SI,0.0124201226,-0.101587336,+,-
w55,M,F25804_SI,-0.038232051,-0.030557214,-,-
w59,M,F25804_SI,0.0202001294,-0.117993402,+,-
w64,M,F25804_SI,0.0027033287,-0.026119789,+,-
w68,M,F25804_SI,0.0102462107,-0.129222773,+,-
w76,M,F25804_SI,-0.009092618,0.1441350196,-,+
w79,M,F25804_SI,0.0140628738,-0.107624183,+,-
r315,V,F25804_SI,-0.000960342,0.1647399801,-,+
r324,V,F25804_SI,0.0114576768,-0.075159457,+,-
r335,V,F25804_SI,0.0199150192,-0.081049314,+,-
r357,V,F25804_SI,-0.011787986,0.0402956865,-,+
r365,V,F25804_SI,-0.015768129,0.0206123603,-,+
r373,V,F25804_SI,0.0253261565,0.0022225448,+,+
r427,V,F25804_SI,0.0124232558,-0.12072384,+,-
r491,V,F25804_SI,-0.007557137,0.1578562195,-,+
r517,V,F25804_SI,0.0268932096,-0.057690742,+,-
r799,V,F25804_SI,0.0076193105,0.0955857614,+,+
r820,V,F25804_SI,-0.033254376,0.1648551075,-,+
w114,V,F25804_SI,-0.046310465,0.1644891615,-,+
w38,V,F25804_SI,0.017613185,-0.054845216,+,-
w47,V,F25804_SI,0.0079880393,-0.095681186,+,-
w52,V,F25804_SI,0.0111010901,-0.102229039,+,-
w55,V,F25804_SI,-0.030803688,-0.037402361,-,-
w59,V,F25804_SI,0.0138274096,-0.10030592,+,-
w64,V,F25804_SI,0.0011182563,-0.0079147,+,-
w68,V,F25804_SI,0.0102128767,-0.120909235,+,-
w76,V,F25804_SI,-0.034344614,0.146893581,-,+
w79,V,F25804_SI,0.0152912514,-0.103639393,+,-
r136,M,F26163_SI,0.0107868694,-0.213260682,+,-
r208,M,F26163_SI,0.0252625657,-0.163760471,+,-
r21,M,F26163_SI,-0.008923812,0.0218833629,-,+
r217,M,F26163_SI,0.0679743534,-0.027050357,+,-
r280,M,F26163_SI,-0.038120785,0.2850830055,-,+
r287,M,F26163_SI,-0.015365733,0.2570106239,-,+
r309,M,F26163_SI,-0.03812605,0.1964286224,-,+
r315,M,F26163_SI,0.0167623361,-0.026034142,+,-
r324,M,F26163_SI,0.0242702638,0.0073109945,+,+
r335,M,F26163_SI,0.0358547154,-0.035297544,+,-
r340,M,F26163_SI,0.073089969,-0.075623939,+,-
r350,M,F26163_SI,-0.08003557,-0.020296817,-,-
r357,M,F26163_SI,-0.059060736,-0.012777203,-,-
r358,M,F26163_SI,-0.060911628,0.0456552507,-,+
r360,M,F26163_SI,-0.065075799,0.1051487049,-,+
r362,M,F26163_SI,0.0244945934,0.1039024651,+,+
r365,M,F26163_SI,0.0084168657,-0.246411959,+,-
r373,M,F26163_SI,0.0146597822,-0.152166928,+,-
r374,M,F26163_SI,-0.003757905,-0.141584132,-,-
r380,M,F26163_SI,0.0450219602,-0.036913456,+,-
r392,M,F26163_SI,0.0170549901,0.0797660772,+,+
r426,M,F26163_SI,0.0245671095,-0.138255367,+,-
r427,M,F26163_SI,0.0180035654,-0.034668465,+,-
r443,M,F26163_SI,0.0258077427,0.0305750028,+,+
r491,M,F26163_SI,0.0416682453,-0.102163608,+,-
r502,M,F26163_SI,0.0770537296,-0.129473224,+,-
r517,M,F26163_SI,0.0116257497,-0.151888639,+,-
r732,M,F26163_SI,-0.028023048,0.3697178035,-,+
r737,M,F26163_SI,0.0403049831,-0.016014199,+,-
r799,M,F26163_SI,0.0168114069,-0.036783209,+,-
r810,M,F26163_SI,0.0045896009,0.0399278951,+,+
r820,M,F26163_SI,0.0090294309,0.035521028,+,+
r83,M,F26163_SI,0.0360151798,-0.103124383,+,-
r85,M,F26163_SI,0.0530658558,-0.028707515,+,-
r853,M,F26163_SI,-0.043024892,-0.153533042,-,-
r857,M,F26163_SI,0.0605878289,-0.151017949,+,-
r907,M,F26163_SI,-0.048492486,0.0255345111,-,+
w114,M,F26163_SI,0.0142709922,-0.161293663,+,-
w38,M,F26163_SI,0.0278845483,-0.013382187,+,-
w47,M,F26163_SI,-0.002833,-0.156026649,-,-
w52,M,F26163_SI,-0.242848197,0.6387261424,-,+
w55,M,F26163_SI,-0.046331986,0.0171996677,-,+
w59,M,F26163_SI,-0.028815744,0.3711324699,-,+
w64,M,F26163_SI,0.0208419246,-0.167369979,+,-
w67,M,F26163_SI,-0.003551197,-0.106618447,-,-
w68,M,F26163_SI,0.0275469136,0.0919604432,+,+
w76,M,F26163_SI,-0.062550449,0.0635966801,-,+
w79,M,F26163_SI,0.0025249446,0.0154174057,+,+
r136,V,F26163_SI,0.0137149518,-0.22629072,+,-
r208,V,F26163_SI,0.0224037621,-0.171088664,+,-
r21,V,F26163_SI,-0.038408259,0.0797797905,-,+
r217,V,F26163_SI,0.0703975793,-0.084774758,+,-
r280,V,F26163_SI,-0.025924255,0.2800025175,-,+
r287,V,F26163_SI,0.0410618304,0.2428288846,+,+
r309,V,F26163_SI,0.0793026662,0.0286022136,+,+
r315,V,F26163_SI,0.0184984191,-0.042193715,+,-
r324,V,F26163_SI,0.0297150136,-0.032588193,+,-
r335,V,F26163_SI,0.0449214021,-0.03570848,+,-
r340,V,F26163_SI,0.0636241088,-0.077978756,+,-
r350,V,F26163_SI,-0.068812499,-0.026296459,-,-
r357,V,F26163_SI,-0.056006006,-0.02413872,-,-
r358,V,F26163_SI,-0.048160806,0.010857633,-,+
r360,V,F26163_SI,-0.076052293,0.1154275259,-,+
r362,V,F26163_SI,0.0322799343,0.0900535277,+,+
r365,V,F26163_SI,0.008499989,-0.24698429,+,-
r373,V,F26163_SI,0.0249108975,-0.16749851,+,-
r374,V,F26163_SI,0.0065514302,-0.164105578,+,-
r380,V,F26163_SI,0.0436519538,-0.046011747,+,-
r392,V,F26163_SI,-0.03269768,0.1583915746,-,+
r426,V,F26163_SI,0.0393595582,-0.176702912,+,-
r427,V,F26163_SI,0.0068929966,-0.040263315,+,-
r443,V,F26163_SI,0.0227149618,0.0469145603,+,+
r491,V,F26163_SI,0.0152059572,-0.09505251,+,-
r502,V,F26163_SI,0.0686005305,-0.066935736,+,-
r517,V,F26163_SI,0.0296491483,-0.167959172,+,-
r732,V,F26163_SI,-0.044928397,0.3396658243,-,+
r737,V,F26163_SI,0.0497333988,-0.058566251,+,-
r799,V,F26163_SI,0.0139160217,-0.034309393,+,-
r810,V,F26163_SI,0.0386708505,0.0028836594,+,+
r820,V,F26163_SI,0.0188134053,0.0070043855,+,+
r83,V,F26163_SI,0.0173543754,-0.081509524,+,-
r85,V,F26163_SI,0.0408453779,0.0042401361,+,+
r853,V,F26163_SI,-0.052228899,-0.146398927,-,-
r857,V,F26163_SI,0.0427445891,-0.088527337,+,-
r907,V,F26163_SI,-0.070062994,0.0741113766,-,+
w114,V,F26163_SI,-0.007426145,-0.133192742,-,-
w38,V,F26163_SI,0.0353423285,0.0446524068,+,+
w47,V,F26163_SI,-0.00999986,-0.165558603,-,-
w52,V,F26163_SI,-0.265716438,0.6799027844,-,+
w55,V,F26163_SI,-0.047266165,0.0339480222,-,+
w59,V,F26163_SI,-0.038292032,0.3579026554,-,+
w64,V,F26163_SI,0.0155321568,-0.166724996,+,-
w67,V,F26163_SI,-0.012360348,-0.058145411,-,-
w68,V,F26163_SI,0.0255243894,0.1354876935,+,+
w76,V,F26163_SI,-0.085629378,0.0931462165,-,+
w79,V,F26163_SI,-0.000461531,-0.000297969,-,-
r217,M,F26331_SI,0.0186906428,-0.092691368,+,-
r315,M,F26331_SI,-0.03520175,0.0725079453,-,+
r324,M,F26331_SI,-0.134619985,0.288775632,-,+
r335,M,F26331_SI,0.0024024721,-0.0576383,+,-
r340,M,F26331_SI,0.0902737005,-0.089112129,+,-
r357,M,F26331_SI,-0.016268289,-0.072141816,-,-
r358,M,F26331_SI,0.0079529138,-0.170504995,+,-
r365,M,F26331_SI,0.0351493194,-0.093757771,+,-
r373,M,F26331_SI,0.0223655879,0.0185908686,+,+
r374,M,F26331_SI,-0.057537421,0.2076602038,-,+
r380,M,F26331_SI,0.0279061013,0.0426452078,+,+
r427,M,F26331_SI,-0.055228965,0.2377342376,-,+
r491,M,F26331_SI,0.038905621,-0.167397872,+,-
r517,M,F26331_SI,0.0412429566,-0.084804741,+,-
r732,M,F26331_SI,0.0032178564,0.1075554933,+,+
r737,M,F26331_SI,-0.01663118,-0.085052948,-,-
r799,M,F26331_SI,0.0238544268,-0.095428369,+,-
r820,M,F26331_SI,0.0311912507,-0.151645012,+,-
r85,M,F26331_SI,0.0505041882,0.2078254557,+,+
w114,M,F26331_SI,-0.089762013,0.0567180219,-,+
w38,M,F26331_SI,0.0232063249,-0.135767755,+,-
w47,M,F26331_SI,0.0323875612,-0.179724842,+,-
w52,M,F26331_SI,0.0147873033,-0.086928852,+,-
w55,M,F26331_SI,-0.030150787,-0.003104231,-,-
w59,M,F26331_SI,-0.035902101,0.2130974732,-,+
w64,M,F26331_SI,0.0616570317,-0.186062042,+,-
w68,M,F26331_SI,0.0305973577,0.0539948225,+,+
w76,M,F26331_SI,-0.072205635,0.1275956128,-,+
w79,M,F26331_SI,-0.01278449,0.1170620693,-,+
r217,V,F26331_SI,0.0511104679,-0.157977968,+,-
r315,V,F26331_SI,-0.05885182,0.1207483025,-,+
r324,V,F26331_SI,-0.146562527,0.3184406816,-,+
r335,V,F26331_SI,-0.003300941,-0.046502915,-,-
r340,V,F26331_SI,0.0643521432,-0.057248198,+,-
r357,V,F26331_SI,-0.035708063,-0.050232432,-,-
r358,V,F26331_SI,0.0112284895,-0.165116721,+,-
r365,V,F26331_SI,0.0369294577,-0.086324712,+,-
r373,V,F26331_SI,0.0138968969,-0.037666553,+,-
r374,V,F26331_SI,-0.032848607,0.2139857174,-,+
r380,V,F26331_SI,0.0438957967,0.0304438864,+,+
r427,V,F26331_SI,-0.059387728,0.2321655163,-,+
r491,V,F26331_SI,0.0310933494,-0.164482867,+,-
r517,V,F26331_SI,0.0529350901,-0.092021946,+,-
r732,V,F26331_SI,-0.010394144,0.1023455238,-,+
r737,V,F26331_SI,-0.035414805,-0.048074413,-,-
r799,V,F26331_SI,0.0111243623,-0.068926631,+,-
r820,V,F26331_SI,0.0292485688,-0.167475093,+,-
r85,V,F26331_SI,0.0651875034,0.2320932963,+,+
w114,V,F26331_SI,-0.077025234,0.0658100881,-,+
w38,V,F26331_SI,0.0348103291,-0.139088167,+,-
w47,V,F26331_SI,0.0242759242,-0.176915191,+,-
w52,V,F26331_SI,0.0227214478,-0.102044361,+,-
w55,V,F26331_SI,-0.026674283,-0.016098747,-,-
w59,V,F26331_SI,-0.041760647,0.213723435,-,+
w64,V,F26331_SI,0.0680412906,-0.187666164,+,-
w68,V,F26331_SI,0.0207144596,0.065773104,+,+
w76,V,F26331_SI,-0.041490862,0.0381098104,-,+
w79,V,F26331_SI,-0.012145917,0.1302237167,-,+
r101,M,F26657_SI,0.0968142764,-0.2768868,+,-
r136,M,F26657_SI,-0.016144101,-0.168985162,-,-
r208,M,F26657_SI,0.0856314475,0.9035007213,+,+
r217,M,F26657_SI,0.0898424423,-0.170194516,+,-
r280,M,F26657_SI,-0.029665267,0.2757984644,-,+
r287,M,F26657_SI,0.0143319293,-0.178042416,+,-
r315,M,F26657_SI,-0.130866666,0.0719351451,-,+
r324,M,F26657_SI,-0.180245357,0.2288149051,-,+
r335,M,F26657_SI,-0.03215163,-0.003586224,-,-
r340,M,F26657_SI,0.0395485134,-0.358635677,+,-
r350,M,F26657_SI,-0.023541013,0.093761646,-,+
r357,M,F26657_SI,-0.036054537,-0.169865618,-,-
r358,M,F26657_SI,0.0158810419,0.1055482184,+,+
r360,M,F26657_SI,-0.226381099,0.2953787561,-,+
r362,M,F26657_SI,0.0446520064,-0.157007124,+,-
r365,M,F26657_SI,0.0115634485,-0.160944515,+,-
r373,M,F26657_SI,0.0096485427,-0.264365191,+,-
r374,M,F26657_SI,0.0348027443,-0.207984153,+,-
r380,M,F26657_SI,0.0028541255,0.2636820337,+,+
r426,M,F26657_SI,0.0718532909,-0.224544532,+,-
r427,M,F26657_SI,0.0286966898,0.2991106624,+,+
r443,M,F26657_SI,0.0318714156,-0.156705158,+,-
r491,M,F26657_SI,0.0520350789,0.217852269,+,+
r517,M,F26657_SI,0.0272235399,-0.357442291,+,-
r732,M,F26657_SI,0.0314850466,-0.33087387,+,-
r737,M,F26657_SI,-0.041553368,0.0390536199,-,+
r799,M,F26657_SI,0.0361493256,0.3979944503,+,+
r820,M,F26657_SI,-0.001606916,-0.118948912,-,-
r83,M,F26657_SI,0.063624264,-0.132008413,+,-
r85,M,F26657_SI,0.0207928082,-0.193329388,+,-
w114,M,F26657_SI,0.0179839985,0.0943207684,+,+
w38,M,F26657_SI,0.0935302948,0.0991738072,+,+
w47,M,F26657_SI,-0.17480093,0.5103260439,-,+
w52,M,F26657_SI,0.0221756464,-0.296026881,+,-
w55,M,F26657_SI,-0.008678541,-0.201325813,-,-
w59,M,F26657_SI,0.049201156,0.2127000386,+,+
w64,M,F26657_SI,0.0545960532,0.1284573671,+,+
w67,M,F26657_SI,0.0305359681,-0.02987386,+,-
w68,M,F26657_SI,0.0028730481,-0.13108034,+,-
w76,M,F26657_SI,-0.104882222,0.0044772898,-,+
w79,M,F26657_SI,-0.073626497,0.0467706461,-,+
r101,V,F26657_SI,0.0642172333,-0.224768369,+,-
r136,V,F26657_SI,-0.020007478,-0.071332862,-,-
r208,V,F26657_SI,-0.043135642,0.9298340498,-,+
r217,V,F26657_SI,0.0650764077,-0.22193473,+,-
r280,V,F26657_SI,0.0137954075,0.2668676205,+,+
r287,V,F26657_SI,0.0744981138,-0.236610621,+,-
r315,V,F26657_SI,-0.131038485,0.0538982877,-,+
r324,V,F26657_SI,-0.173495123,0.2272981085,-,+
r335,V,F26657_SI,-0.003422597,-0.057453044,-,-
r340,V,F26657_SI,0.0495455215,-0.356292651,+,-
r350,V,F26657_SI,-0.05462886,0.175686851,-,+
r357,V,F26657_SI,-0.03078495,-0.180338016,-,-
r358,V,F26657_SI,0.0317275972,0.0570853426,+,+
r360,V,F26657_SI,-0.205196857,0.2192285308,-,+
r362,V,F26657_SI,0.0440811091,-0.153809319,+,-
r365,V,F26657_SI,0.0532677109,-0.202976086,+,-
r373,V,F26657_SI,0.0168155779,-0.273288533,+,-
r374,V,F26657_SI,0.0450630355,-0.206630528,+,-
r380,V,F26657_SI,0.0174794128,0.2033140979,+,+
r426,V,F26657_SI,0.0943093523,-0.26418422,+,-
r427,V,F26657_SI,0.0029909565,0.2930804966,+,+
