line,mating_status,fusion_id,c_i,T_i_1a,direction_cis,direction_trans
r340,V,F10060_SI,0.1619793986,0.0938736503,+,+
r350,V,F10060_SI,0.0496127947,0.0724161373,+,+
r357,V,F10060_SI,0.0298336963,0.2408645327,+,+
r358,V,F10060_SI,-0.005639675,-0.036325397,-,-
r360,V,F10060_SI,0.0254427513,0.2489091545,+,+
r365,V,F10060_SI,0.0300841751,0.1228875178,+,+
r373,V,F10060_SI,-0.007886694,-0.3444226,-,-
r374,V,F10060_SI,0.0175977288,-0.058954062,+,-
r380,V,F10060_SI,0.0224137206,-0.077099856,+,-
r427,V,F10060_SI,-0.210623904,0.0298554857,-,+
r491,V,F10060_SI,0.0425649147,-0.083322035,+,-
r517,V,F10060_SI,0.0626508924,0.2671639335,+,+
r732,V,F10060_SI,-0.003159504,-0.112039862,-,-
r737,V,F10060_SI,0.066333172,-0.211448147,+,-
r799,V,F10060_SI,-0.000892256,-0.098627634,-,-
r820,V,F10060_SI,-0.003287073,0.2102591164,-,+
r85,V,F10060_SI,0.0682028133,0.0439721089,+,+
w38,V,F10060_SI,-0.054816377,-0.023942639,-,-
w47,V,F10060_SI,-0.011949695,-0.318028313,-,-
w52,V,F10060_SI,-0.010855837,-0.299988178,-,-
w55,V,F10060_SI,-0.206861279,0.2235056996,-,+
w59,V,F10060_SI,-0.030309233,0.5002027757,-,+
w64,V,F10060_SI,-0.017791192,-0.302698097,-,-
w68,V,F10060_SI,0.0005665293,-0.089432231,+,-
w76,V,F10060_SI,-0.084758852,0.1264833034,-,+
w79,V,F10060_SI,-0.146395407,0.1294499183,-,+
r101,M,F10136_SI,-0.121215172,-0.191386902,-,-
r217,M,F10136_SI,0.1117330865,-0.085733988,+,-
r287,M,F10136_SI,-0.044787807,0.0270743303,-,+
r315,M,F10136_SI,0.0070834516,-0.045173104,+,-
r324,M,F10136_SI,-0.281605656,0.0578451471,-,+
r335,M,F10136_SI,-0.021051345,0.0069092968,-,+
r340,M,F10136_SI,0.1491253507,-0.139618197,+,-
r350,M,F10136_SI,0.0450627137,0.0645447648,+,+
r357,M,F10136_SI,0.0062080318,-0.024599321,+,-
r358,M,F10136_SI,-0.044831832,0.1821706208,-,+
r365,M,F10136_SI,0.0468132659,-0.024014458,+,-
r373,M,F10136_SI,0.0697697044,-0.068456784,+,-
r374,M,F10136_SI,0.0015273479,-0.235947846,+,-
r491,M,F10136_SI,0.0544334431,-0.034868417,+,-
r517,M,F10136_SI,0.0404450057,0.0056027888,+,+
r732,M,F10136_SI,0.0562625387,-0.105163138,+,-
r737,M,F10136_SI,0.0362699091,0.0052722463,+,+
r820,M,F10136_SI,-0.028731083,0.0497664397,-,+
r83,M,F10136_SI,0.0137887538,-0.076397679,+,-
r85,M,F10136_SI,0.2689862494,-0.1006095,+,-
w114,M,F10136_SI,-0.01010757,0.0446029285,-,+
w38,M,F10136_SI,-0.347115174,0.3965048077,-,+
w55,M,F10136_SI,0.0152694101,-0.005100287,+,-
w59,M,F10136_SI,-0.023332624,0.2967762502,-,+
r101,V,F10136_SI,-0.066868133,-0.186385025,-,-
r217,V,F10136_SI,0.0659338135,-0.084600669,+,-
r287,V,F10136_SI,-0.07613319,0.0379130267,-,+
r315,V,F10136_SI,-0.013574214,0.1008494476,-,+
r324,V,F10136_SI,-0.258007985,0.0498173204,-,+
r335,V,F10136_SI,-0.027722003,0.0539617179,-,+
r340,V,F10136_SI,0.0996639723,-0.165949875,+,-
r350,V,F10136_SI,-0.05502306,0.1181172106,-,+
r357,V,F10136_SI,-0.080932076,0.0991942775,-,+
r358,V,F10136_SI,0.0201143229,0.1168112911,+,+
r365,V,F10136_SI,0.0341607501,0.0559047157,+,+
r373,V,F10136_SI,0.0944187369,-0.175039786,+,-
r374,V,F10136_SI,0.0343688575,-0.231491561,+,-
r491,V,F10136_SI,0.0711247355,-0.040241038,+,-
r517,V,F10136_SI,0.0990049842,-0.100480848,+,-
r732,V,F10136_SI,0.0619807056,-0.064471625,+,-
r737,V,F10136_SI,0.0399011113,0.0676511956,+,+
r820,V,F10136_SI,-0.017541921,-0.069420674,-,-
r83,V,F10136_SI,0.0579464305,-0.022889232,+,-
r85,V,F10136_SI,0.1880110876,-0.036161832,+,-
w114,V,F10136_SI,-0.00043469,-0.079431782,-,-
w38,V,F10136_SI,-0.239683442,0.2249133985,-,+
w55,V,F10136_SI,0.0553844206,-0.045519822,+,-
w59,V,F10136_SI,-0.086093213,0.3769501675,-,+
r101,M,F10268_SI,-0.131449871,-0.077009731,-,-
r136,M,F10268_SI,-0.059314933,0.0716610164,-,+
r208,M,F10268_SI,0.1391703825,-0.070664469,+,-
r21,M,F10268_SI,0.0892554186,-0.013637396,+,-
r217,M,F10268_SI,0.047950126,-0.08489186,+,-
r280,M,F10268_SI,0.0631069544,-0.01206895,+,-
r287,M,F10268_SI,-0.012277995,0.0008132885,-,+
r309,M,F10268_SI,0.0353360753,-0.115268873,+,-
r324,M,F10268_SI,-0.03817168,0.0253371717,-,+
r335,M,F10268_SI,-0.086434381,0.0779177878,-,+
r340,M,F10268_SI,0.0302575896,-0.163591434,+,-
r350,M,F10268_SI,0.1059655982,-0.139333654,+,-
r357,M,F10268_SI,-0.057077848,0.0829514494,-,+
r358,M,F10268_SI,0.0116675365,-0.056021285,+,-
r360,M,F10268_SI,-0.102133574,0.1395274744,-,+
r362,M,F10268_SI,-0.026494756,0.0588211867,-,+
r365,M,F10268_SI,0.0243479765,-0.044691706,+,-
r373,M,F10268_SI,-0.038873894,-0.12840429,-,-
r374,M,F10268_SI,0.0396372133,-0.065849589,+,-
r380,M,F10268_SI,-0.04119617,0.0709438154,-,+
r392,M,F10268_SI,0.1253166658,-0.10726013,+,-
r427,M,F10268_SI,-0.03726005,0.0892054132,-,+
r443,M,F10268_SI,-0.25705954,0.3684557382,-,+
r517,M,F10268_SI,-0.029040656,0.0008530105,-,+
r732,M,F10268_SI,-0.090356446,0.0966424842,-,+
r737,M,F10268_SI,0.0303294906,0.0692481787,+,+
r799,M,F10268_SI,0.0132656278,0.013955196,+,+
r810,M,F10268_SI,-0.015397888,0.0740564916,-,+
r820,M,F10268_SI,0.1180253515,-0.152267083,+,-
r83,M,F10268_SI,0.0610671955,0.0364612935,+,+
r85,M,F10268_SI,0.2005372491,-0.100699882,+,-
r853,M,F10268_SI,0.0852062821,0.0699956785,+,+
r907,M,F10268_SI,0.1411617731,-0.077851443,+,-
w114,M,F10268_SI,-0.072155383,-0.08590774,-,-
w38,M,F10268_SI,-0.009938741,-0.104052974,-,-
w47,M,F10268_SI,-0.006854421,-0.020477238,-,-
w52,M,F10268_SI,-0.023500659,0.0403089899,-,+
w55,M,F10268_SI,-0.374775263,0.4141592491,-,+
w64,M,F10268_SI,0.0263253452,-0.018199218,+,-
w68,M,F10268_SI,0.0216773959,-0.067819217,+,-
w76,M,F10268_SI,0.0355207475,-0.029608328,+,-
w79,M,F10268_SI,0.0646361546,-0.065738424,+,-
r101,V,F10268_SI,-0.14818,0.0334006308,-,+
r136,V,F10268_SI,-0.07120662,0.1726735052,-,+
r208,V,F10268_SI,0.1463488435,-0.143049432,+,-
r21,V,F10268_SI,-0.13185506,0.1491153583,-,+
r217,V,F10268_SI,0.0553492565,-0.128678846,+,-
r280,V,F10268_SI,-0.053054495,0.0268230573,-,+
r287,V,F10268_SI,0.1265534789,-0.014732662,+,-
r309,V,F10268_SI,-0.00606105,-0.116764859,-,-
r324,V,F10268_SI,-0.002294025,-0.112273408,-,-
r335,V,F10268_SI,-0.045469917,-0.009622002,-,-
r340,V,F10268_SI,0.0206097468,0.1287613296,+,+
r350,V,F10268_SI,0.1664934895,-0.130100539,+,-
r357,V,F10268_SI,-0.095952002,0.1490028977,-,+
r358,V,F10268_SI,0.026284348,-0.111075408,+,-
r360,V,F10268_SI,-0.083679787,0.0101381985,-,+
r362,V,F10268_SI,-0.021780359,-0.123154929,-,-
r365,V,F10268_SI,0.0038257283,0.0299804068,+,+
r373,V,F10268_SI,0.117621138,-0.216204789,+,-
r374,V,F10268_SI,0.1185415428,-0.181511741,+,-
r380,V,F10268_SI,-0.011286407,-0.108052093,-,-
r392,V,F10268_SI,-0.093815249,0.3113960601,-,+
r427,V,F10268_SI,-0.027676882,0.00299711,-,+
r443,V,F10268_SI,-0.496986639,0.7651440665,-,+
r517,V,F10268_SI,0.0402813862,-0.03638814,+,-
r732,V,F10268_SI,-0.083976586,0.0083998054,-,+
r737,V,F10268_SI,0.0167919108,0.129006123,+,+
r799,V,F10268_SI,0.081472107,-0.060398812,+,-
r810,V,F10268_SI,0.0846787918,0.0414430085,+,+
r820,V,F10268_SI,0.0048335618,-0.113965409,+,-
r83,V,F10268_SI,0.0433642378,-0.012846364,+,-
r85,V,F10268_SI,0.259592308,-0.123910957,+,-
r853,V,F10268_SI,0.1375808519,-0.036132857,+,-
r907,V,F10268_SI,0.2369715438,-0.110978369,+,-
w114,V,F10268_SI,-0.08202129,-0.087773572,-,-
w38,V,F10268_SI,0.0410714689,-0.066910818,+,-
w47,V,F10268_SI,0.0036965327,-0.031802278,+,-
w52,V,F10268_SI,-0.045005267,0.0156253311,-,+
w55,V,F10268_SI,-0.326581117,0.2930510172,-,+
w64,V,F10268_SI,0.0531528274,-0.08058193,+,-
w68,V,F10268_SI,0.0274835445,-0.028587817,+,-
w76,V,F10268_SI,-0.028837484,-0.009022144,-,-
w79,V,F10268_SI,0.043121593,-0.072437728,+,-
r101,M,F10317_SI,-0.073531293,-0.015774743,-,-
r136,M,F10317_SI,-0.04367566,-0.020429964,-,-
r208,M,F10317_SI,0.1031386664,0.0740440451,+,+
r217,M,F10317_SI,-0.069273664,-0.025518758,-,-
r280,M,F10317_SI,-0.102152032,-0.022418912,-,-
r315,M,F10317_SI,0.0520452035,0.0140942239,+,+
r324,M,F10317_SI,-0.056884771,-0.020660868,-,-
r335,M,F10317_SI,-0.048204391,-0.018631124,-,-
r340,M,F10317_SI,-0.076072222,-0.027352944,-,-
r350,M,F10317_SI,0.0952099277,0.0156515713,+,+
r357,M,F10317_SI,0.0645344236,0.0436574938,+,+
r358,M,F10317_SI,0.0805368926,0.0062770145,+,+
r360,M,F10317_SI,0.035881468,0.0049123848,+,+
r365,M,F10317_SI,0.0922160391,0.0364400251,+,+
r373,M,F10317_SI,0.2240470785,0.047125466,+,+
r374,M,F10317_SI,-0.087182219,-0.025431157,-,-
r380,M,F10317_SI,0.1578537341,0.0330783649,+,+
r427,M,F10317_SI,0.0209540565,-0.005999029,+,-
r491,M,F10317_SI,-0.06332354,-0.015563293,-,-
r517,M,F10317_SI,-0.048220431,-0.010056461,-,-
r732,M,F10317_SI,0.1583516911,0.0429769846,+,+
r737,M,F10317_SI,0.1296861645,0.052842637,+,+
r799,M,F10317_SI,-0.06607214,-0.020206227,-,-
r820,M,F10317_SI,-0.001695087,-0.006760217,-,-
r85,M,F10317_SI,-0.046157764,-0.029606461,-,-
r853,M,F10317_SI,-0.038613323,-0.040666219,-,-
r907,M,F10317_SI,0.0416017813,0.1075898472,+,+
w38,M,F10317_SI,-0.038347661,-0.022699989,-,-
w47,M,F10317_SI,-0.054496556,-0.01702054,-,-
w52,M,F10317_SI,-0.069000125,-0.02299157,-,-
w55,M,F10317_SI,-0.050001788,-0.015583506,-,-
w59,M,F10317_SI,-0.013896024,-0.01980678,-,-
w64,M,F10317_SI,-0.041631779,-0.0167702,-,-
w68,M,F10317_SI,-0.055530134,-0.026449969,-,-
w76,M,F10317_SI,-0.05119322,-0.020952561,-,-
w79,M,F10317_SI,-0.060901304,-0.011338565,-,-
r101,V,F10317_SI,-0.060298803,-0.019111517,-,-
r136,V,F10317_SI,-0.003407532,-0.027983253,-,-
r208,V,F10317_SI,0.1452754295,0.0724817354,+,+
r217,V,F10317_SI,-0.043860639,-0.027810524,-,-
r280,V,F10317_SI,-0.081388562,-0.014663836,-,-
r315,V,F10317_SI,0.0295840001,0.0063712527,+,+
r324,V,F10317_SI,-0.057135166,-0.018328568,-,-
r335,V,F10317_SI,-0.057371183,-0.017326076,-,-
r340,V,F10317_SI,-0.067163034,-0.034044596,-,-
r350,V,F10317_SI,0.0701683353,-0.005561737,+,-
r357,V,F10317_SI,0.0277653074,0.0657938578,+,+
r358,V,F10317_SI,0.048783236,0.0126874036,+,+
r360,V,F10317_SI,0.0428045891,0.0013077267,+,+
r365,V,F10317_SI,0.1233566276,0.0462883727,+,+
r373,V,F10317_SI,0.1501411123,0.0774526344,+,+
r374,V,F10317_SI,-0.073709546,-0.004190399,-,-
r380,V,F10317_SI,0.1546241421,0.025930163,+,+
r427,V,F10317_SI,-0.007894712,0.0084339338,-,+
r491,V,F10317_SI,-0.05495792,-0.022305482,-,-
r517,V,F10317_SI,-0.048707736,-0.018365459,-,-
r732,V,F10317_SI,0.1141656112,0.0351713874,+,+
r737,V,F10317_SI,0.1520854685,0.0387100079,+,+
r799,V,F10317_SI,-0.054666058,-0.017515217,-,-
r820,V,F10317_SI,0.0010635007,-0.003805296,+,-
r85,V,F10317_SI,-0.048299359,-0.029626964,-,-
r853,V,F10317_SI,-0.060029154,-0.036361631,-,-
r907,V,F10317_SI,0.0875422887,0.0732809148,+,+
w38,V,F10317_SI,-0.059509147,-0.01169902,-,-
w47,V,F10317_SI,-0.039874354,-0.025968024,-,-
w52,V,F10317_SI,-0.043310039,-0.01777848,-,-
w55,V,F10317_SI,-0.067163798,-0.021363276,-,-
w59,V,F10317_SI,-0.019692369,-0.026787655,-,-
w64,V,F10317_SI,-0.032998909,-0.01650859,-,-
w68,V,F10317_SI,-0.06026975,-0.015937461,-,-
w76,V,F10317_SI,-0.057015342,-0.019079017,-,-
w79,V,F10317_SI,-0.04863654,-0.011787312,-,-
r309,M,F10466_SI,0.0026277706,-0.070732534,+,-
r340,M,F10466_SI,-0.004888191,-0.077981174,-,-
r350,M,F10466_SI,0.0004961892,-0.084713182,+,-
r358,M,F10466_SI,0.0063363951,-0.099279956,+,-
r374,M,F10466_SI,0.0482603044,-0.000899619,+,-
r732,M,F10466_SI,0.0144826163,-0.120521504,+,-
r737,M,F10466_SI,0.0147413686,-0.122007062,+,-
r820,M,F10466_SI,-0.005402081,-0.077259197,-,-
r83,M,F10466_SI,0.0159407509,-0.123443826,+,-
w114,M,F10466_SI,-0.075371926,0.5646572954,-,+
w67,M,F10466_SI,-0.017281584,-0.053634026,-,-
w68,M,F10466_SI,-0.01264386,0.2638892234,-,+
w79,M,F10466_SI,0.0127022478,0.0019255616,+,+
r309,V,F10466_SI,0.0051607235,-0.09730467,+,-
r340,V,F10466_SI,0.0050253116,-0.092260577,+,-
r350,V,F10466_SI,0.0060384008,-0.089745321,+,-
r358,V,F10466_SI,0.0087197412,-0.103815541,+,-
r374,V,F10466_SI,0.0264914982,0.056189522,+,+
r732,V,F10466_SI,0.0144431599,-0.115869543,+,-
r737,V,F10466_SI,0.015680439,-0.118344101,+,-
r820,V,F10466_SI,0.0071706195,-0.096589934,+,-
r83,V,F10466_SI,0.0193451207,-0.122753757,+,-
w114,V,F10466_SI,-0.087530305,0.4475055687,-,+
w67,V,F10466_SI,-0.036048465,-0.011970841,-,-
w68,V,F10466_SI,-0.003841365,0.3440184863,-,+
w79,V,F10466_SI,0.0193451207,0.0009407085,+,+
r101,M,F10806_SI,0.0146412416,-0.046448032,+,-
r208,M,F10806_SI,0.0207944923,-0.072101627,+,-
r280,M,F10806_SI,-0.048321284,0.0522198316,-,+
r315,M,F10806_SI,-0.020570038,0.1550531414,-,+
r324,M,F10806_SI,-0.017479159,-0.039998768,-,-
r350,M,F10806_SI,0.0274101386,-0.061205936,+,-
r358,M,F10806_SI,0.0260988154,-0.079373148,+,-
r360,M,F10806_SI,0.0004045424,-0.067580633,+,-
r362,M,F10806_SI,0.0379723114,0.0721466173,+,+
r365,M,F10806_SI,-0.030173976,0.2405260004,-,+
r374,M,F10806_SI,0.0122001381,-0.094716992,+,-
r427,M,F10806_SI,0.0070359111,-0.052415637,+,-
r491,M,F10806_SI,0.0121472174,-0.067472947,+,-
r517,M,F10806_SI,-0.031308937,0.2079180226,-,+
r799,M,F10806_SI,-0.028628851,0.2268375565,-,+
